name,slug,website_url,logo_url,description_en,description_fr,category,country,established,is_featured,status
KEELER,keeler,https://www.keeler.co.uk/,https://www.keeler.co.uk/wp-content/uploads/2020/01/keeler-logo.png,"British manufacturer of professional ophthalmic diagnostic equipment, specializing in slit lamps, ophthalmoscopes, and tonometers with over 100 years of innovation in eye care.","Fabricant britannique d'équipements de diagnostic ophtalmique professionnel, spécialisé dans les lampes à fente, ophtalmoscopes et tonomètres avec plus de 100 ans d'innovation dans les soins oculaires.",Ophthalmic Equipment,United Kingdom,1917,true,active
L'INSTRUMENTATION,l-instrumentation,https://www.linstrumentation.fr/,https://www.linstrumentation.fr/wp-content/uploads/2019/03/linstrumentation-logo.png,"French distributor and manufacturer of precision medical instruments, specializing in ophthalmic surgical tools and equipment for healthcare professionals across France and Europe.","Distributeur et fabricant français d'instruments médicaux de précision, spécialisé dans les outils et équipements chirurgicaux ophtalmiques pour les professionnels de la santé en France et en Europe.",Medical Instruments,France,1985,false,active
MEDICONTUR,medicontur,https://medicontur.com/,https://medicontur.com/wp-content/uploads/2020/02/medicontur-logo.png,"Hungarian manufacturer of premium intraocular lenses and ophthalmic surgical products, focusing on innovative IOL technology and high-quality cataract surgery solutions.","Fabricant hongrois de lentilles intraoculaires haut de gamme et de produits chirurgicaux ophtalmiques, axé sur la technologie IOL innovante et les solutions de chirurgie de la cataracte de haute qualité.",Intraocular Lenses,Hungary,1991,false,active
MEDIWORKS,mediworks,https://www.mediworks.fr/,https://www.mediworks.fr/wp-content/uploads/2018/05/mediworks-logo.png,"French medical technology company providing innovative solutions for ophthalmic procedures, specializing in surgical instruments and equipment for eye care professionals.","Entreprise française de technologie médicale fournissant des solutions innovantes pour les procédures ophtalmiques, spécialisée dans les instruments chirurgicaux et les équipements pour les professionnels des soins oculaires.",Medical Technology,France,2003,false,active
MORIA,moria,https://www.moria.com/,https://www.moria.com/wp-content/uploads/2019/04/moria-logo.png,"French manufacturer of precision ophthalmic surgical instruments, world leader in microkeratomes and corneal surgery tools with over 170 years of expertise in eye surgery.","Fabricant français d'instruments chirurgicaux ophtalmiques de précision, leader mondial des microkératomes et outils de chirurgie cornéenne avec plus de 170 ans d'expertise en chirurgie oculaire.",Corneal Surgery,France,1849,true,active
NIDEK,nidek,https://www.nidek.com/,https://www.nidek.com/wp-content/uploads/2020/01/nidek-logo.png,"Japanese global leader in ophthalmic equipment manufacturing, providing comprehensive solutions including diagnostic instruments, laser systems, and refractive surgery equipment.","Leader mondial japonais dans la fabrication d'équipements ophtalmiques, fournissant des solutions complètes incluant des instruments de diagnostic, des systèmes laser et des équipements de chirurgie réfractive.",Ophthalmic Equipment,Japan,1971,true,active
OCULAR THERAPEUTIX,ocular-therapeutix,https://www.ocularmedical.com/,https://www.ocularmedical.com/wp-content/uploads/2020/03/ocular-logo.png,"Biopharmaceutical company developing innovative drug delivery systems for ophthalmic conditions, focusing on sustained-release therapeutics for eye diseases and disorders.","Entreprise biopharmaceutique développant des systèmes innovants de délivrance de médicaments pour les affections ophtalmiques, axée sur les thérapeutiques à libération prolongée pour les maladies et troubles oculaires.",Pharmaceuticals,USA,2006,false,active
OPHTEC,ophtec,https://www.ophtec.com/,https://www.ophtec.com/wp-content/uploads/2019/02/ophtec-logo.png,"Dutch manufacturer of innovative intraocular lenses and ophthalmic implants, specializing in premium IOL technology and surgical solutions for cataract and refractive surgery.","Fabricant néerlandais de lentilles intraoculaires innovantes et d'implants ophtalmiques, spécialisé dans la technologie IOL haut de gamme et les solutions chirurgicales pour la cataracte et la chirurgie réfractive.",Intraocular Lenses,Netherlands,1989,false,active
RUMEX INTERNATIONAL,rumex-international,https://rumex.com/,https://rumex.com/wp-content/uploads/2020/04/rumex-logo.png,"American manufacturer of precision ophthalmic surgical instruments and microsurgical tools, providing high-quality solutions for vitreoretinal and anterior segment surgery.","Fabricant américain d'instruments chirurgicaux ophtalmiques de précision et d'outils microchirurgicaux, fournissant des solutions de haute qualité pour la chirurgie vitréorétinienne et du segment antérieur.",Surgical Instruments,USA,1980,false,active
URSAPHARM,ursapharm,https://ursapharm.de/,https://ursapharm.de/wp-content/uploads/2020/01/ursapharm-logo.png,"German pharmaceutical company specializing in ophthalmic medications and eye care products, developing innovative treatments for various ocular conditions and disorders.","Entreprise pharmaceutique allemande spécialisée dans les médicaments ophtalmiques et les produits de soins oculaires, développant des traitements innovants pour diverses affections et troubles oculaires.",Pharmaceuticals,Germany,1974,false,active
ERYIGIT,eryigit,https://www.eryigit.com/,https://via.placeholder.com/300x120/1E40AF/FFFFFF?text=ERYIGIT,"Turkish medical device company specializing in ophthalmic equipment and surgical instruments for eye care professionals.","Entreprise turque de dispositifs médicaux spécialisée dans les équipements ophtalmiques et les instruments chirurgicaux pour les professionnels des soins oculaires.",Medical Equipment,Turkey,2000,false,active
FE-GROUP,fe-group,https://fegroup.com/,https://via.placeholder.com/300x120/059669/FFFFFF?text=FE-GROUP,"International medical technology group providing innovative solutions for ophthalmic and surgical applications.","Groupe international de technologie médicale fournissant des solutions innovantes pour les applications ophtalmiques et chirurgicales.",Medical Technology,International,2005,false,active
LA RETINE,la-retine,https://laretine.com/,https://via.placeholder.com/300x120/7C3AED/FFFFFF?text=LA+RETINE,"Specialized manufacturer focusing on retinal care solutions and advanced ophthalmic technologies for vision preservation.","Fabricant spécialisé axé sur les solutions de soins rétiniens et les technologies ophtalmiques avancées pour la préservation de la vision.",Retinal Care,France,2010,false,active
LUMED,lumed,https://lumed.com/,https://via.placeholder.com/300x120/DC2626/FFFFFF?text=LUMED,"Medical device manufacturer providing LED-based lighting solutions and equipment for surgical and diagnostic applications.","Fabricant de dispositifs médicaux fournissant des solutions d'éclairage à base de LED et des équipements pour les applications chirurgicales et de diagnostic.",Medical Lighting,International,2008,false,active
NOVAMEDTEK,novamedtek,https://novamedtek.com/,https://via.placeholder.com/300x120/059669/FFFFFF?text=NOVAMEDTEK,"Innovative medical technology company developing cutting-edge solutions for modern healthcare and surgical applications.","Entreprise de technologie médicale innovante développant des solutions de pointe pour les soins de santé modernes et les applications chirurgicales.",Medical Technology,International,2012,false,active
PUKANG MEDICAL,pukang-medical,https://www.pukangmedical.com/,https://via.placeholder.com/300x120/DC2626/FFFFFF?text=PUKANG,"Chinese medical equipment manufacturer specializing in ophthalmic devices and innovative eye care solutions.","Fabricant chinois d'équipements médicaux spécialisé dans les appareils ophtalmiques et les solutions innovantes de soins oculaires.",Ophthalmic Equipment,China,2006,false,active
RAY VISION,ray-vision,https://www.rayvision.com/,https://via.placeholder.com/300x120/1E40AF/FFFFFF?text=RAY+VISION,"Advanced vision technology company providing innovative optical solutions and diagnostic equipment for eye care professionals.","Entreprise de technologie de vision avancée fournissant des solutions optiques innovantes et des équipements de diagnostic pour les professionnels des soins oculaires.",Vision Technology,International,2009,false,active
REGENSIGHT,regensight,https://regensight.com/,https://via.placeholder.com/300x120/7C3AED/FFFFFF?text=REGENSIGHT,"Biotechnology company focused on regenerative medicine and innovative treatments for vision restoration and eye health.","Entreprise de biotechnologie axée sur la médecine régénérative et les traitements innovants pour la restauration de la vision et la santé oculaire.",Biotechnology,France,2013,false,active
RHEON MEDICAL,rheon-medical,https://www.rheon.com/,https://via.placeholder.com/300x120/059669/FFFFFF?text=RHEON,"Medical device company developing innovative solutions for ophthalmic surgery and advanced eye care technologies.","Entreprise de dispositifs médicaux développant des solutions innovantes pour la chirurgie ophtalmique et les technologies avancées de soins oculaires.",Medical Devices,International,2007,false,active
SIEM BIOMEDICAL,siem-biomedical,https://www.siem.de/,https://via.placeholder.com/300x120/DC2626/FFFFFF?text=SIEM,"German biomedical company specializing in advanced medical technologies and innovative solutions for healthcare applications.","Entreprise biomédicale allemande spécialisée dans les technologies médicales avancées et les solutions innovantes pour les applications de soins de santé.",Biomedical Technology,Germany,1995,false,active
STARTIP,startip,https://startip.fr/,https://via.placeholder.com/300x120/1E40AF/FFFFFF?text=STARTIP,"French technology company providing innovative solutions and equipment for medical and ophthalmic applications.","Entreprise technologique française fournissant des solutions et équipements innovants pour les applications médicales et ophtalmiques.",Medical Technology,France,2011,false,active
STURDY MEDICAL,sturdy-medical,https://sturdymedical.com/,https://via.placeholder.com/300x120/059669/FFFFFF?text=STURDY,"Medical equipment manufacturer providing durable and reliable solutions for surgical and diagnostic applications.","Fabricant d'équipements médicaux fournissant des solutions durables et fiables pour les applications chirurgicales et de diagnostic.",Medical Equipment,USA,2004,false,active
UFSK INTERNATIONAL,ufsk-international,https://www.ufsk.com/,https://via.placeholder.com/300x120/7C3AED/FFFFFF?text=UFSK,"International medical technology company specializing in ophthalmic equipment and innovative eye care solutions.","Entreprise internationale de technologie médicale spécialisée dans les équipements ophtalmiques et les solutions innovantes de soins oculaires.",Ophthalmic Equipment,International,2001,false,active
